COLD47OS_06|Osplendens 	8.27536e-92 	gi|359754861|gb|AEV59620.1| 	cold dehydrin [Oxytropis campestris subsp. johannensis]
COLD47OS_06|Osplendens 	1.08832e-91 	gi|359754855|gb|AEV59617.1| 	cold dehydrin, partial [Oxytropis splendens]
COLD47OS_06|Osplendens 	6.03228e-91 	gi|359754859|gb|AEV59619.1| 	cold dehydrin [Oxytropis campestris subsp. johannensis]
COLD47OS_06|Osplendens 	6.65583e-90 	gi|359754847|gb|AEV59613.1| 	cold dehydrin [Oxytropis arctobia]
COLD47OS_06|Osplendens 	2.80532e-74 	gi|359754845|gb|AEV59612.1| 	cold dehydrin, partial [Oxytropis arctobia]
COLD47OS_06|Osplendens 	3.90408e-74 	gi|359754863|gb|AEV59621.1| 	cold dehydrin, partial [Oxytropis campestris subsp. johannensis]
COLD47OS_06|Osplendens 	1.22678e-73 	gi|359754857|gb|AEV59618.1| 	cold dehydrin, partial [Oxytropis splendens]
COLD47OS_06|Osplendens 	7.29995e-72 	gi|359754865|gb|AEV59622.1| 	cold dehydrin, partial [Oxytropis maydelliana]
COLD47OS_06|Osplendens 	8.05358e-53 	gi|359754851|gb|AEV59615.1| 	cold dehydrin, partial [Oxytropis campestris subsp. johannensis]
COLD47OS_06|Osplendens 	2.31418e-44 	gi|359754869|gb|AEV59624.1| 	cold dehydrin, partial [Oxytropis splendens]
COLD47OA_07|Oarctobia 	7.11052e-91 	gi|359754847|gb|AEV59613.1| 	cold dehydrin [Oxytropis arctobia]
COLD47OA_07|Oarctobia 	5.01995e-90 	gi|359754855|gb|AEV59617.1| 	cold dehydrin, partial [Oxytropis splendens]
COLD47OA_07|Oarctobia 	6.73385e-90 	gi|359754861|gb|AEV59620.1| 	cold dehydrin [Oxytropis campestris subsp. johannensis]
COLD47OA_07|Oarctobia 	4.90677e-89 	gi|359754859|gb|AEV59619.1| 	cold dehydrin [Oxytropis campestris subsp. johannensis]
COLD47OA_07|Oarctobia 	1.76267e-75 	gi|359754845|gb|AEV59612.1| 	cold dehydrin, partial [Oxytropis arctobia]
COLD47OA_07|Oarctobia 	2.42895e-72 	gi|359754863|gb|AEV59621.1| 	cold dehydrin, partial [Oxytropis campestris subsp. johannensis]
COLD47OA_07|Oarctobia 	7.3055e-72 	gi|359754857|gb|AEV59618.1| 	cold dehydrin, partial [Oxytropis splendens]
COLD47OA_07|Oarctobia 	1.19279e-71 	gi|359754865|gb|AEV59622.1| 	cold dehydrin, partial [Oxytropis maydelliana]
COLD47OA_07|Oarctobia 	4.38671e-52 	gi|359754851|gb|AEV59615.1| 	cold dehydrin, partial [Oxytropis campestris subsp. johannensis]
COLD47OA_07|Oarctobia 	1.59974e-45 	gi|359754869|gb|AEV59624.1| 	cold dehydrin, partial [Oxytropis splendens]
PDK_30s895221g001|Pdactylifera 	4.9356e-47 	gi|672200196|ref|XP_008777815.1| 	PREDICTED: probable zinc transporter protein DDB_G0282067 [Phoenix dactylifera]
PDK_30s895221g001|Pdactylifera 	2.01775e-07 	gi|2913893|dbj|BAA24979.1| 	LIP5 [Oryza sativa (japonica cultivar-group)]
PDK_30s895221g001|Pdactylifera 	2.03815e-07 	gi|537403|dbj|BAA05539.1| 	WSI724 protein induced by water stress [Oryza sativa Japonica Group] >gi|50582768|gb|AAT78838.1| putative dehydrin (having alternative splicing products) [Oryza sativa Japonica Group] >gi|108710168|gb|ABF97963.1| Dehydrin family protein, expressed [Oryza sativa Japonica Group] >gi|125587325|gb|EAZ27989.1| hypothetical protein OsJ_11951 [Oryza sativa Japonica Group] >gi|215765207|dbj|BAG86904.1| unnamed protein product [Oryza sativa Japonica Group]
PDK_30s895221g001|Pdactylifera 	8.6236e-07 	gi|729306997|ref|XP_010528751.1| 	PREDICTED: probable zinc transporter protein DDB_G0282067 [Tarenaya hassleriana] >gi|729439230|ref|XP_010521006.1| PREDICTED: probable zinc transporter protein DDB_G0282067 [Tarenaya hassleriana] >gi|729440091|ref|XP_010521310.1| PREDICTED: probable zinc transporter protein DDB_G0282067 [Tarenaya hassleriana]
PDK_30s895221g001|Pdactylifera 	6.45613e-06 	gi|255626309|gb|ACU13499.1| 	unknown [Glycine max]
PDK_30s895221g001|Pdactylifera 	7.62249e-06 	gi|351727296|ref|NP_001236644.1| 	src1 protein [Glycine max] >gi|571532308|ref|XP_006600235.1| PREDICTED: src1 protein isoform X1 [Glycine max] >gi|2055228|dbj|BAA19768.1| SRC1 [Glycine max] >gi|734426430|gb|KHN43782.1| hypothetical protein glysoja_035393 [Glycine soja]
PDK_30s895221g001|Pdactylifera 	3.21705e-05 	gi|18478480|gb|AAL73185.1|AF334211_1 	maturation-associated SRC1-like protein [Carica papaya]
PDK_30s895221g001|Pdactylifera 	0.000123614 	gi|195625830|gb|ACG34745.1| 	dehydrin 13 [Zea mays]
PDK_30s895221g001|Pdactylifera 	0.000169712 	gi|195609530|gb|ACG26595.1| 	dehydrin 13 [Zea mays] >gi|195611230|gb|ACG27445.1| dehydrin 13 [Zea mays]
PDK_30s895221g001|Pdactylifera 	0.000247464 	gi|226501978|ref|NP_001151632.1| 	dehydrin 13 [Zea mays] >gi|195648232|gb|ACG43584.1| dehydrin 13 [Zea mays]
C.cajan_05184|Ccajan 	9.85774e-26 	gi|593797888|ref|XP_007161982.1| 	hypothetical protein PHAVU_001G114100g [Phaseolus vulgaris] >gi|561035446|gb|ESW33976.1| hypothetical protein PHAVU_001G114100g [Phaseolus vulgaris]
C.cajan_05184|Ccajan 	1.05204e-21 	gi|255630454|gb|ACU15585.1| 	unknown [Glycine max] >gi|255641156|gb|ACU20855.1| unknown [Glycine max] >gi|734408288|gb|KHN34670.1| hypothetical protein glysoja_011223 [Glycine soja]
C.cajan_05184|Ccajan 	1.57904e-21 	gi|351724431|ref|NP_001238337.1| 	uncharacterized protein LOC100306661 [Glycine max] >gi|255629213|gb|ACU14951.1| unknown [Glycine max]
C.cajan_05184|Ccajan 	1.66086e-21 	gi|734433493|gb|KHN46748.1| 	hypothetical protein glysoja_014999 [Glycine soja]
C.cajan_05184|Ccajan 	1.32171e-20 	gi|351726156|ref|NP_001236605.1| 	KS-type dehydrin SLTI629 [Glycine max] >gi|148524045|gb|ABQ81887.1| KS-type dehydrin SLTI629 [Glycine max]
C.cajan_05184|Ccajan 	2.34766e-19 	gi|14994231|gb|AAK73280.1| 	drought-induced protein [Retama raetam]
C.cajan_05184|Ccajan 	1.05675e-17 	gi|734433494|gb|KHN46749.1| 	hypothetical protein glysoja_015000 [Glycine soja]
C.cajan_05184|Ccajan 	2.78208e-17 	gi|351727296|ref|NP_001236644.1| 	src1 protein [Glycine max] >gi|571532308|ref|XP_006600235.1| PREDICTED: src1 protein isoform X1 [Glycine max] >gi|2055228|dbj|BAA19768.1| SRC1 [Glycine max] >gi|734426430|gb|KHN43782.1| hypothetical protein glysoja_035393 [Glycine soja]
C.cajan_05184|Ccajan 	4.35869e-17 	gi|356560837|ref|XP_003548693.1| 	PREDICTED: glutamic acid-rich protein-like [Glycine max]
C.cajan_05184|Ccajan 	3.11936e-16 	gi|255626309|gb|ACU13499.1| 	unknown [Glycine max]
Ca_20934|Carietinum 	1.3789e-52 	gi|502091950|ref|XP_004489676.1| 	PREDICTED: protein MNN4-like [Cicer arietinum]
Ca_20934|Carietinum 	6.9474e-15 	gi|14994231|gb|AAK73280.1| 	drought-induced protein [Retama raetam]
Ca_20934|Carietinum 	7.65062e-14 	gi|388515837|gb|AFK45980.1| 	unknown [Medicago truncatula]
Ca_20934|Carietinum 	9.84083e-14 	gi|388502890|gb|AFK39511.1| 	unknown [Medicago truncatula] >gi|657381604|gb|KEH25575.1| hypothetical protein MTR_6g027810 [Medicago truncatula]
Ca_20934|Carietinum 	1.11863e-13 	gi|18478480|gb|AAL73185.1|AF334211_1 	maturation-associated SRC1-like protein [Carica papaya]
Ca_20934|Carietinum 	6.82405e-12 	gi|734433493|gb|KHN46748.1| 	hypothetical protein glysoja_014999 [Glycine soja]
Ca_20934|Carietinum 	9.27157e-12 	gi|255630454|gb|ACU15585.1| 	unknown [Glycine max] >gi|255641156|gb|ACU20855.1| unknown [Glycine max] >gi|734408288|gb|KHN34670.1| hypothetical protein glysoja_011223 [Glycine soja]
Ca_20934|Carietinum 	8.1139e-11 	gi|351726156|ref|NP_001236605.1| 	KS-type dehydrin SLTI629 [Glycine max] >gi|148524045|gb|ABQ81887.1| KS-type dehydrin SLTI629 [Glycine max]
